iter	Passed	Remaining
482	682	730
483	684	729
484	685	727
485	687	727
486	689	726
487	690	724
488	692	723
489	693	721
490	694	719
491	695	718
492	696	716
493	698	715
494	699	713
495	700	711
496	704	712
497	706	712
498	707	710
499	708	708
500	710	707
501	711	705
502	712	704
503	713	702
504	715	700
505	717	700
506	719	699
507	721	699
508	724	698
509	726	698
510	728	697
511	730	696
512	734	697
513	737	697
514	739	696
515	741	695
516	743	694
517	746	694
518	749	694
519	751	693
520	753	692
521	754	691
522	757	690
523	758	688
524	761	688
525	762	687
526	763	685
527	764	683
528	766	682
529	767	680
530	768	678
531	769	677
532	770	675
533	771	673
534	773	671
535	776	672
536	777	670
537	779	669
538	780	667
539	781	665
540	782	664
541	784	662
542	785	660
543	786	659
544	787	657
545	792	658
546	794	657
547	795	656
548	797	654
549	798	653
550	800	652
551	802	651
552	806	652
553	808	650
554	810	649
555	811	648
556	813	647
557	815	645
558	816	644
559	818	643
560	821	643
561	823	641
562	825	640
563	826	639
564	828	637
565	829	636
566	831	635
567	833	633
568	836	634
569	838	632
570	840	631
571	842	630
572	843	628
573	845	627
574	847	626
575	849	624
576	852	624
577	854	623
578	855	622
579	857	620
580	859	619
581	860	618
582	862	616
583	865	616
584	867	615
585	869	613
586	872	614
587	874	613
588	877	612
589	879	611
590	883	611
591	887	611
592	890	611
593	893	610
594	895	609
595	897	608
596	900	607
597	905	608
598	907	607
599	909	606
600	911	605
601	913	603
602	916	603
603	920	603
604	923	602
605	925	601
606	928	601
607	933	601
608	935	600
609	939	600
610	942	600
611	944	599
612	952	601
613	954	599
614	957	599
615	959	598
616	966	599
617	968	598
618	971	597
619	974	597
620	976	595
621	981	596
622	984	595
623	985	594
624	987	592
625	989	591
626	991	589
627	992	588
628	994	586
629	1000	587
630	1002	585
631	1007	586
632	1010	585
633	1015	585
634	1017	584
635	1019	583
636	1021	582
637	1023	580
638	1025	579
639	1029	579
640	1031	577
641	1033	576
642	1036	575
643	1039	574
644	1045	575
645	1047	574
646	1049	572
647	1051	571
648	1053	569
649	1056	568
650	1059	568
651	1062	567
652	1064	565
653	1067	564
654	1069	563
655	1072	562
656	1076	562
657	1084	563
658	1086	562
659	1092	562
660	1094	561
661	1100	561
662	1102	560
663	1109	561
664	1112	560
665	1114	558
666	1117	557
667	1119	556
668	1124	556
669	1128	555
670	1130	554
671	1133	553
672	1135	551
673	1141	552
674	1143	550
675	1147	549
676	1149	548
677	1154	548
678	1156	546
679	1159	545
680	1162	544
681	1165	543
682	1172	544
683	1214	561
684	1218	560
685	1220	558
686	1222	557
687	1224	555
688	1226	553
689	1228	551
690	1230	550
691	1232	548
692	1234	546
693	1236	545
694	1238	543
695	1239	541
696	1241	539
697	1243	537
698	1245	536
699	1246	534
700	1248	532
701	1250	530
702	1252	529
703	1254	527
704	1255	525
705	1257	523
706	1259	521
707	1261	520
708	1265	519
709	1267	517
710	1269	515
711	1272	514
712	1282	516
713	1284	514
714	1286	512
715	1288	510
716	1309	516
717	1313	515
718	1315	514
719	1317	512
720	1319	510
721	1320	508
722	1322	506
723	1324	504
724	1325	502
725	1329	501
726	1331	499
727	1333	498
728	1335	496
729	1336	494
730	1338	492
731	1340	490
732	1342	489
733	1344	487
734	1346	485
735	1347	483
736	1349	481
737	1351	479
738	1352	477
739	1354	475
740	1356	473
741	1358	472
742	1360	470
743	1361	468
744	1363	466
745	1364	464
746	1366	462
747	1368	460
748	1369	459
749	1374	458
750	1375	456
751	1377	454
752	1379	452
753	1381	450
754	1383	448
755	1384	446
756	1386	444
757	1388	443
758	1389	441
759	1390	439
760	1391	437
761	1392	435
762	1394	433
763	1395	431
764	1396	429
765	1397	426
766	1398	424
767	1401	423
768	1403	421
769	1404	419
770	1406	417
771	1408	415
772	1409	413
773	1410	411
774	1411	409
775	1412	407
776	1414	405
777	1417	404
778	1418	402
779	1420	400
780	1421	398
781	1422	396
782	1423	394
783	1424	392
784	1426	390
785	1427	388
786	1428	386
787	1430	384
788	1432	383
789	1433	381
790	1434	379
791	1436	377
792	1437	375
793	1438	373
794	1439	371
795	1440	369
796	1442	367
797	1443	365
798	1447	364
799	1448	362
800	1450	360
801	1451	358
802	1452	356
803	1453	354
804	1454	352
805	1456	350
806	1457	348
807	1458	346
808	1461	345
809	1463	343
810	1464	341
811	1466	339
812	1467	337
813	1468	335
814	1470	333
815	1471	331
816	1472	329
817	1474	328
818	1477	326
819	1479	324
820	1480	322
821	1482	321
822	1483	319
823	1485	317
824	1487	315
825	1488	313
826	1493	312
827	1494	310
828	1496	308
829	1497	306
830	1499	304
831	1500	303
832	1501	301
833	1503	299
834	1504	297
835	1507	295
836	1508	293
837	1510	291
838	1511	290
839	1512	288
840	1513	286
841	1514	284
842	1516	282
843	1517	280
844	1519	278
845	1522	277
846	1523	275
847	1524	273
848	1525	271
849	1527	269
850	1528	267
851	1529	265
852	1531	263
853	1532	261
854	1533	260
855	1536	258
856	1538	256
857	1539	254
858	1540	252
859	1542	251
860	1543	249
861	1545	247
862	1547	245
863	1548	243
864	1551	242
865	1552	240
866	1554	238
867	1556	236
868	1558	234
869	1560	233
870	1561	231
871	1565	229
872	1567	228
873	1568	226
874	1571	224
875	1572	222
876	1574	220
877	1575	218
878	1577	217
879	1581	215
880	1583	213
881	1584	212
882	1586	210
883	1588	208
884	1589	206
885	1591	204
886	1593	202
887	1596	201
888	1598	199
889	1599	197
890	1601	195
891	1603	194
892	1605	192
893	1606	190
894	1611	189
895	1613	187
896	1615	185
897	1617	183
898	1618	181
899	1620	180
900	1622	178
901	1625	176
902	1627	174
903	1629	173
904	1631	171
905	1632	169
906	1634	167
907	1636	165
908	1641	164
909	1643	162
910	1645	160
911	1646	158
912	1648	157
913	1650	155
914	1651	153
915	1654	151
916	1657	150
917	1659	148
918	1660	146
919	1662	144
920	1664	142
921	1666	140
922	1667	139
923	1671	137
924	1673	135
925	1676	133
926	1678	132
927	1680	130
928	1681	128
929	1686	126
930	1689	125
931	1691	123
932	1693	121
933	1695	119
934	1696	117
935	1698	116
936	1701	114
937	1704	112
938	1706	110
939	1707	109
940	1709	107
941	1711	105
942	1712	103
943	1715	101
944	1718	99
945	1719	98
946	1721	96
947	1723	94
948	1724	92
949	1726	90
950	1727	89
951	1730	87
952	1732	85
953	1734	83
954	1735	81
955	1737	79
956	1738	78
957	1741	76
958	1742	74
959	1745	72
960	1747	70
961	1749	69
962	1751	67
963	1753	65
964	1754	63
965	1756	61
966	1760	60
967	1764	58
968	1766	56
969	1768	54
970	1770	52
971	1772	51
972	1776	49
973	1779	47
974	1781	45
975	1783	43
976	1786	42
977	1788	40
978	1792	38
979	1795	36
980	1796	34
981	1798	32
982	1800	31
983	1802	29
984	1807	27
985	1809	25
986	1810	23
987	1813	22
988	1814	20
989	1816	18
990	1820	16
991	1823	14
992	1825	12
993	1827	11
994	1829	9
995	1831	7
996	1836	5
997	1840	3
998	1843	1
999	1845	0
